Code,Label,Canonical,Valid,Geometry,Plane,Metric,Element,Body,Letter,Also,Body2,Status,Dims,N_Vertices,Area_Proj_m2,Width_m,Height_m,Area_Real_m2,Obliquity_deg,Len3D_m,Len_Vert_m,Len_Horiz_m,Chord_m,Metric_Value_m,QC_Flags,Suggestion
DW-S04-EA03,t-corn-1.0,t-corn-1.0,si,polygon,t,,corn,1.0,,,,cons,3D,16,0.119,1.823,0.226,0.141,32.2,,,,,,,
DW-S04-EA03,t-1.1a,t-1.1a,si,polygon,t,,,1.1,a,,,cons,3D,35,0.984,2.205,0.921,0.986,3.9,,,,,,,
DW-S04-EA03,t-1.1b,t-1.1b,si,polygon,t,,,1.1,b,,,cons,3D,20,0.236,1.130,0.381,0.261,25.2,,,,,,,
DW-S04-EA04,f-port-1.1-c,f-port-1.1-c,si,polygon,f,,port,1.1,,,,-c,3D,5,0.220,0.389,0.591,0.238,22.8,,,,,,,
DW-S04-EA04,f-1.1-c,f-1.1-c,si,polygon,f,,,1.1,,,,-c,3D,35,1.097,1.234,1.136,1.178,21.3,,,,,,,
DW-S04-EA04,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,43,0.458,1.231,0.705,0.478,16.8,,,,,,,
DW-S04-EA04,t-roof-1.1,t-roof-1.1,si,polygon,t,,roof,1.1,,,,cons,3D,31,0.728,1.085,1.157,0.752,14.6,,,,,,,
DW-S04-EA04,t-roof-1.1-r,t-roof-1.1-r,si,polygon,t,,roof,1.1,,,,-r,3D,20,0.869,1.114,1.158,0.898,14.6,,,,,,,
DW-S04-EA04,t-int-1.1,t-int-1.1,si,polygon,t,,int,1.1,,,,cons,3D,38,0.707,1.236,0.996,0.748,19.1,,,,,,,
DW-S04-EA04,f-dd-wall-1.1-c,f-dd-wall-1.1-c,si,line,f,dd,wall,1.1,,,,-c,3D,2,,,,,,0.207,0.048,0.201,0.207,0.207,,
DW-S04-EA05,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,22,0.350,1.025,0.496,0.362,14.5,,,,,,,
DW-S04-EA05,f-1.1-c,f-1.1-c,si,polygon,f,,,1.1,,,,-c,3D,21,0.936,1.145,1.012,0.941,5.9,,,,,,,
DW-S04-EA05,f-dd-1.1-c,f-dd-1.1-c,si,line,f,dd,,1.1,,,,-c,3D,2,,,,,,0.235,0.013,0.235,0.235,0.235,,
DW-S04-EA05,f-port-1.1-c,f-port-1.1-c,si,polygon,f,,port,1.1,,,,-c,3D,9,0.249,0.469,0.623,0.255,12.1,,,,,,,
DW-S04-EA05,r-port-1.1-c,r-port-1.1-c,si,polygon,r,,port,1.1,,,,-c,3D,8,0.125,0.337,0.614,0.126,6.3,,,,,,,
DW-S04-EA05,t-roof-1.1-r,t-roof-1.1-r,si,polygon,t,,roof,1.1,,,,-r,3D,34,0.521,1.099,0.618,0.549,18.3,,,,,,,
DW-S04-EA05,t-1.1-c,t-1.1-c,si,polygon,t,,,1.1,,,,-c,3D,38,0.487,0.962,0.941,0.487,2.7,,,,,,,
DW-S04-EA09,f-0.1a-c,f-0.1a-c,si,polygon,f,,,0.1,a,,,-c,3D,25,0.638,1.661,0.707,0.643,7.3,,,,,,,
DW-S04-EA09,f-0.2-c,f-0.2-c,si,polygon,f,,,0.2,,,,-c,3D,26,0.909,1.811,0.633,0.928,11.5,,,,,,,
DW-S04-EA09,f-1.1-c,f-1.1-c,si,polygon,f,,,1.1,,,,-c,3D,28,1.390,1.655,1.101,1.408,9.3,,,,,,,
DW-S04-EA09,r-1.1-c,r-1.1-c,si,polygon,r,,,1.1,,,,-c,3D,32,0.651,0.952,0.908,0.665,11.8,,,,,,,
DW-S04-EA09,r-0.1a-c,r-0.1a-c,si,polygon,r,,,0.1,a,,,-c,3D,22,0.110,0.225,0.646,0.112,11.2,,,,,,,
DW-S04-EA09,r-0.2-c,r-0.2-c,si,polygon,r,,,0.2,,,,-c,3D,22,0.288,0.824,0.515,0.292,9.0,,,,,,,
DW-S04-EA09,r-port-1.1-c,r-port-1.1-c,si,polygon,r,,port,1.1,,,,-c,3D,5,0.227,0.472,0.557,0.234,13.9,,,,,,,
DW-S04-EA09,t-int-0.2-c,t-int-0.2-c,si,polygon,t,,int,0.2,,,,-c,3D,28,0.947,1.288,0.970,0.997,18.3,,,,,,,
DW-S04-EA09,t-0.2,t-0.2,si,polygon,t,,,0.2,,,,cons,3D,23,0.693,1.257,0.784,0.700,7.9,,,,,,,
DW-S04-EA09,l-1.1-c,l-1.1-c,si,polygon,l,,,1.1,,,,-c,3D,17,0.294,0.387,0.952,0.310,18.2,,,,,,,
DW-S04-EA09,r-dd-wall-c,r-dd-wall-c,si,line,r,dd,wall,,,,,-c,3D,2,,,,,,0.121,0.011,0.121,0.121,0.121,,
DW-S04-EA09,f-0.1b-c,f-0.1b-c,si,polygon,f,,,0.1,b,,,-c,3D,26,0.344,0.636,0.634,0.360,17.3,,,,,,,
DW-S04-EA09,r-0.1b-c,r-0.1b-c,si,polygon,r,,,0.1,b,,,-c,3D,17,0.059,0.225,0.509,0.061,14.2,,,,,,,
DW-S04-EA09,t-ext-0.1-c,t-ext-0.1-c,si,polygon,t,,ext,0.1,,,,-c,3D,18,0.294,0.602,0.725,0.313,20.1,,,,,,,
DW-S04-EA09,t-corn-0.2,t-corn-0.2,si,polygon,t,,corn,0.2,,,,cons,3D,28,0.093,1.871,0.286,0.117,38.0,,,,,,,
DW-S04-EA09,t-corn-0.1,t-corn-0.1,si,polygon,t,,corn,0.1,,,,cons,3D,16,0.043,1.198,0.111,0.052,35.1,,,,,,,
DW-S04-EA09,f-hh-1.1-c,f-hh-1.1-c,si,line,f,hh,,1.1,,,,-c,3D,2,,,,,,0.867,0.850,0.170,0.867,0.850,,
DW-S04-EA12,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,26,1.054,1.699,0.724,1.069,9.6,,,,,,,
DW-S04-EA12,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,34,0.630,1.374,0.666,0.632,5.0,,,,,,,
DW-S04-EA12,l-0.1-c,l-0.1-c,si,polygon,l,,,0.1,,,,-c,3D,31,0.235,0.587,0.784,0.238,9.5,,,,,,,
DW-S04-EA12,l-1.1,l-1.1,si,polygon,l,,,1.1,,,,cons,3D,35,0.408,0.664,0.880,0.413,9.2,,,,,,,
DW-S04-EA12,f-dd-wall-1.1,f-dd-wall-1.1,si,line,f,dd,wall,1.1,,,,cons,3D,2,,,,,,0.136,0.026,0.133,0.136,0.136,,
DW-S04-EA12,l-dd-wall-1.1,l-dd-wall-1.1,si,line,l,dd,wall,1.1,,,,cons,3D,2,,,,,,0.147,0.002,0.147,0.147,0.147,,
DW-S04-EA12,t-int-1.1,t-int-1.1,si,polygon,t,,int,1.1,,,,cons,3D,30,0.426,1.086,0.518,0.438,13.3,,,,,,,
DW-S04-EA14,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,22,0.812,1.892,0.646,0.814,3.3,,,,,,,
DW-S04-EA14,l-1.1-c,l-1.1-c,si,polygon,l,,,1.1,,,,-c,3D,30,0.405,0.538,1.076,0.478,32.1,,,,,,,
DW-S04-EA14,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,34,1.485,1.725,1.075,1.494,6.4,,,,,,,
DW-S04-EA14,r-1.1,r-1.1,si,polygon,r,,,1.1,,,,cons,3D,24,0.361,0.729,0.635,0.375,15.7,,,,,,,
DW-S04-EA14,r-1.1-r,r-1.1-r,si,polygon,r,,,1.1,,,,-r,3D,29,1.096,1.588,0.956,1.185,22.3,,,,,,,
DW-S04-EA14,r-dd-1.1-c,r-dd-1.1-c,si,line,r,dd,,1.1,,,,-c,3D,2,,,,,,0.202,0.017,0.201,0.202,0.202,,
DW-S04-EA14,f-dd-1.1-c,f-dd-1.1-c,si,line,f,dd,,1.1,,,,-c,3D,2,,,,,,0.246,0.037,0.243,0.246,0.246,,
DW-S04-EA15,f-0.1-c,f-0.1-c,si,polygon,f,,,0.1,,,,-c,3D,40,0.867,1.978,0.792,0.898,15.2,,,,,,,
DW-S04-EA15,r-1.1-c,r-1.1-c,si,polygon,r,,,1.1,,,,-c,3D,25,0.245,0.543,1.044,0.265,22.3,,,,,,,
DW-S04-EA15,r-0.1-c,r-0.1-c,si,polygon,r,,,0.1,,,,-c,3D,20,0.135,0.518,0.361,0.140,15.7,,,,,,,
DW-S04-EA15,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,40,1.027,1.725,1.141,1.041,9.7,,,,,,,
DW-S04-EA15,r-0.1-c,r-0.1-c,si,polygon,r,,,0.1,,,,-c,3D,19,0.113,0.596,0.393,0.118,18.0,,,,,,,
DW-S04-EA15,f-dd-wall-0.1,f-dd-wall-0.1,si,line,f,dd,wall,0.1,,,,cons,3D,2,,,,,,0.177,0.022,0.176,0.177,0.177,,
DW-S04-EA15,t-int-1.1,t-int-1.1,si,polygon,t,,int,1.1,,,,cons,3D,46,1.211,1.728,1.080,1.487,35.5,,,,,,,
DW-S04-EA18,f-0.1a-c,f-0.1a-c,si,polygon,f,,,0.1,a,,,-c,3D,25,0.569,1.134,0.626,0.589,15.0,,,,,,,
DW-S04-EA18,l-0.1-c,l-0.1-c,si,polygon,l,,,0.1,,,,-c,3D,16,0.075,0.329,0.353,0.077,12.1,,,,,,,
DW-S04-EA18,f-0.1b-c,f-0.1b-c,si,polygon,f,,,0.1,b,,,-c,3D,22,0.274,0.579,0.551,0.276,6.6,,,,,,,
DW-S04-EA18,r-0.1-c,r-0.1-c,si,polygon,r,,,0.1,,,,-c,3D,23,0.099,0.318,0.520,0.103,17.3,,,,,,,
DW-S04-EA18,r-port-1.1,r-port-1.1,si,polygon,r,,port,1.1,,,,cons,3D,5,0.213,0.489,0.587,0.213,4.3,,,,,,,
DW-S04-EA18,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,61,1.688,2.791,0.880,1.688,0.7,,,,,,,
DW-S04-EA18,l-1.1,l-1.1,si,polygon,l,,,1.1,,,,cons,3D,23,0.166,0.557,0.661,0.171,14.1,,,,,,,
DW-S04-EA18,r-1.1,r-1.1,si,polygon,r,,,1.1,,,,cons,3D,33,0.232,0.635,0.898,0.243,17.4,,,,,,,
DW-S04-EA18,r-dd-wall-0.1-c,r-dd-wall-0.1-c,si,line,r,dd,wall,0.1,,,,-c,3D,2,,,,,,0.205,0.014,0.204,0.205,0.205,,
DW-S04-EA18,t-corn-0.1-1.1,t-corn-0.1-1.1,si,polygon,t,,corn,0.1,,,1.1,cons,3D,43,0.189,2.718,0.298,0.200,19.6,,,,,,,
DW-S04-EA18,t-1.1,t-1.1,si,polygon,t,,,1.1,,,,cons,3D,25,1.578,2.368,0.879,1.817,29.7,,,,,,,
DW-S04-EA19,f-cav,f-cav,si,polygon,f,,cav,,,,,cons,3D,21,0.142,0.596,0.343,0.149,18.0,,,,,,,
DW-S04-EA19,t-cav,t-cav,si,polygon,t,,cav,,,,,cons,3D,31,0.346,0.591,0.852,0.354,12.4,,,,,,,
DW-S04-EA20,t-plat,t-plat,si,polygon,t,,plat,,,,,cons,3D,13,0.350,0.959,0.618,0.363,15.3,,,,,,,
DW-S04-EA20,t-plat-r,t-plat-r,si,polygon,t,,plat,,,,,-r,3D,18,1.053,1.971,0.730,1.092,15.4,,,,,,,
DW-S04-EA20,f-ll-bra-1.1e,f-ll-bra-1.1e,si,line,f,ll,bra,1.1,e,,,cons,3D,2,,,,,,1.068,0.269,1.033,1.068,1.068,,
DW-S04-EA20,f-ll-bra-1.1d,f-ll-bra-1.1d,si,line,f,ll,bra,1.1,d,,,cons,3D,2,,,,,,0.961,0.172,0.945,0.961,0.961,,
DW-S04-EA20,f-ll-bra-1.1c,f-ll-bra-1.1c,si,line,f,ll,bra,1.1,c,,,cons,3D,2,,,,,,0.797,0.187,0.775,0.797,0.797,,
DW-S04-EA20,f-ll-bra-1.1b,f-ll-bra-1.1b,si,line,f,ll,bra,1.1,b,,,cons,3D,2,,,,,,0.719,0.155,0.702,0.719,0.719,,
DW-S04-EA20,f-ll-bra-1.1a,f-ll-bra-1.1a,si,line,f,ll,bra,1.1,a,,,cons,3D,2,,,,,,0.554,0.172,0.527,0.554,0.554,,
DW-S04-EA20,t-ll-tbeam,t-ll-tbeam,si,line,t,ll,tbeam,,,,,cons,3D,6,,,,,,1.815,0.413,1.768,1.699,1.815,,
DW-S04-EA20,f-hh-slot,f-hh-slot,si,line,f,hh,slot,,,,,cons,3D,2,,,,,,0.108,0.107,0.019,0.108,0.107,,
DW-S05-EA01,f-0.1,f-0.1,si,polygon,f,,,0.1,,,,cons,3D,20,0.367,2.229,0.241,0.390,19.9,,,,,,,
DW-S05-EA01,f-1.1,f-1.1,si,polygon,f,,,1.1,,,,cons,3D,30,1.321,2.138,0.792,1.342,10.3,,,,,,,
DW-S05-EA01,l-1.1,l-1.1,si,polygon,l,,,1.1,,,,cons,3D,15,0.161,0.316,0.799,0.265,52.8,,,,,,PREFIX_DUBTOS:f,
